标题,发布/编辑时间,赞同数,内容摘要,链接
为什么自从玩了乙游 就对三次男的一点兴趣没有?,未知,0,我就说一点，乙游男角色的声音。 你去听过乙游男性角色的声音，再去听一下你微信里单位领导亲戚相亲对象发来的长串略带方言还叽叽咕咕颠三倒四的语音，你也会连和他们交流的欲望都没有…… 女人是很严重的声音动物，一…,https://www.zhihu.com/question/662500146/answer/2015526477664384587
如何看待2026年最新的名侦探光之美少女中，还没出场的角色森亚露露卡迅速爆红出圈的现象？,未知,0,我个人感觉露露卡的出圈正好撞上了过年时seedance的发布。 可能算是一个新时代红利吧 我记得露露卡刚刚出来的时候本来还是小范围有人气的，大概也就是抓心里月光的程度。 然后春节时seedance的火爆，让…,https://www.zhihu.com/question/2002828730779862064/answer/2015523429751759798
为什么没有男人吐槽被性骚扰？,未知,0,"我吐槽过啊 以前cos红a的时候在会场上被两个初中女生袭胸，她们还揪我胸口的配饰企图拉下来，主要吧这两个小姑娘一直在说""哎呀哥哥你先别走，哎呀哥哥再陪我们聊一会嘛，哥哥你的刀是不是真的啊，哥哥你能不能让…",https://www.zhihu.com/question/23027236/answer/2015517359536890441
如何看待当前“性萧条”的现象？,未知,0,你现在在知乎上起个女号，问jk女友要几张腿照，随便在哪个身材贴和大叔vs小姑娘的话题下回几贴发点腿照丝袜照。 哪怕你只有零个关注，都能收到十几二十条私信。…,https://www.zhihu.com/question/1917228395672080971/answer/2015436615208694611
为什么“不被定义”不被男生追捧？,未知,0,"我要是说""我认为我就是一个身高160体重40kg香香软软可爱的小女孩！我现在就是要进到女浴室去和姐姐们贴贴！你们凭什么认为我是身高190体重85kg的男性！我不接受被定义！""然后一边往女浴室闯。 我保证她们吓得鸡飞狗跳。 刷下限罢了，来嘛，比谁变态咯~…",https://www.zhihu.com/question/2014816205798646574/answer/2015430315951269655
「懂事」是不是一种被驯化的妥协？,未知,0,"也不是，我发现大人也很双标的。 我从小就被所有人说懂事。 因为我嘴甜，我见人就喊见人就夸，我小时候夸我舅妈""今天好漂亮呀""，我舅妈逗我说""那我昨天不漂亮咯？""，我说""舅妈一直很漂亮的，今天特别漂亮！"" 他们就会说""哎呀你太可爱太懂事了。"" 我从小几乎都是想干嘛就干嘛，从来不听我爸妈的，不让我干的事情我就偷偷摸摸的干。 我接受批评…",https://www.zhihu.com/question/1963232160686252351/answer/2015383544436896954
我男朋友年薪远高于我，我说因为女生生理结构需要生娃，生娃这件事情女性需要比男生牺牲更多，我说的对吗？,未知,0,你们两个人吵架的内容根本不像两个年入收入加起来330万的人说出了的内容。 年收入300万的人，压根不会考虑什么租一个离公司四公里的房子，还主卧次卧的…… 直接在公司楼上租个酒店不就好了。 他哪来的时间和你这样过家家。…,https://www.zhihu.com/question/1909951807100256811/answer/2015378698409371471
为什么有些女生也会喜欢擦边的二次元美少女？,未知,0,男生喜欢看奥特曼和假面骑士，觉得帅 女生当然也喜欢看漂亮的美少女 觉得可爱呀…,https://www.zhihu.com/question/1970702782072850018/answer/2015375505440929561
为什么现在的影视作品不拍「富家千金和穷小子私奔」的剧情了？,未知,0,现实可以不讲逻辑，但是小说和电视剧需要逻辑的啊。 对男频来说，富家千金和穷小子私奔是自带道德枷锁的，这个枷锁会让男主角的强大变得站不住加脚，如果认了自己的第一桶金就是富家小姐带来的，那么这种不是靠自己能力白手起家还杀伐果断不近女色的男主，就会让读者觉得男主很弱很废物。 所以被富家小姐看不起然后打脸远比富小姐倒贴要让读者更有…,https://www.zhihu.com/question/2013446905259124055/answer/2015373277724431086
为什么对于「贞洁」的网络讨论，几乎都针对女性？ 在国外也是吗？,未知,0,因为女人能生孩子呀，这么简单的问题。 不考虑后代的话，贞洁本来就没有意义了。…,https://www.zhihu.com/question/1900519729451468544/answer/2015369975888625843
